| Thread-664 (insert_trade) | 2023-02-10 11:07:56,182 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-662 (insert_trade) | 2023-02-10 11:07:59,104 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-678 (insert_trade) | 2023-02-10 11:08:01,950 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-662 (insert_trade) | 2023-02-10 11:08:02,821 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-675 (insert_trade) | 2023-02-10 11:08:03,748 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-680 (insert_trade) | 2023-02-10 11:08:04,154 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-683 (insert_trade) | 2023-02-10 11:08:06,724 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-680 (insert_trade) | 2023-02-10 11:08:08,346 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-678 (insert_trade) | 2023-02-10 11:08:08,518 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-680 (insert_trade) | 2023-02-10 11:08:10,667 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-692 (insert_trade) | 2023-02-10 11:08:20,786 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-702 (insert_trade) | 2023-02-10 11:08:55,102 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-706 (insert_trade) | 2023-02-10 11:08:55,603 | trader_db_utils | INFO | Exception at insert | ('HY000', '[HY000] [Microsoft][ODBC Driver 17 for SQL Server]Connection is busy with results for another command (0) (SQLExecDirectW)')
| Thread-736 (insert_trade) | 2023-02-10 11:09:45,619 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
| Thread-743 (insert_trade) | 2023-02-10 11:09:55,260 | trader_db_utils | INFO | Exception at insert | ('HY000', 'The driver did not supply an error!')
